id,Соотношение матрица-наполнитель,"Плотность, кг/м3","Модуль упругости, ГПа","Количество отвердителя, м.%","Содержание эпоксидных групп,%_2","Температура вспышки, С_2","Поверхностная плотность, г/м2","Модуль упругости при растяжении, ГПа","Прочность при растяжении, МПа","Потребление смолы, г/м2"
31,1.771436393,1872.491560000,801.033882500,79.794547870,22.296303720,340.736898400,864.929183700,70.947591560,2796.785402000,123.356264300
32,3.277086987,2010.047012000,339.550422800,67.498993060,24.280609020,254.949083700,117.535234200,67.478706630,2462.605386000,207.018581300
33,2.984362226,1912.315437000,1183.091845000,133.549000700,23.263796570,314.996125500,377.389009400,75.290452220,2303.770656000,200.580249400
34,2.916149621,1879.969846000,1003.270178000,109.239530500,25.682759480,294.048536600,408.354239300,71.700855620,3086.546196000,192.191162100
35,3.247617211,1813.234600000,757.874479000,81.379870840,23.422465240,279.080157500,575.062857100,69.341132880,3188.136358000,252.870568800
36,2.423875673,1908.940601000,530.228686400,58.262414280,24.073549230,325.138688000,456.908046700,74.244354170,1890.505807000,222.699487300
37,5.098993090,1977.339047000,1572.096042000,132.343059800,25.397000980,286.556430900,690.364835700,72.341639730,1386.578973000,271.901393700
38,2.444176986,2085.495837000,931.310636100,110.564839900,23.487139760,270.286765100,278.230020300,71.479060470,2740.229631000,187.861372700
39,2.667696929,2078.894676000,1542.168458000,132.147403300,22.650109200,357.972896200,787.299217000,76.471788470,2559.643047000,163.902778000
40,3.034399483,1968.401388000,455.871018800,61.421296520,23.490722910,316.414572100,637.376892700,75.090371740,2848.490078000,311.052397900
41,2.465204971,1936.099137000,1056.554985000,71.294058220,24.523380700,271.975678300,129.077162900,66.420794360,2868.586527000,227.022557300
42,2.664388649,1996.159145000,525.057774100,77.506882540,18.126107060,223.408685400,28.658102340,69.489773480,2220.587445000,314.776668700
43,1.193529582,1965.929227000,899.603701000,102.959068600,19.566716240,225.810222900,871.088954800,73.454694520,2335.541792000,91.047646330
44,2.914333275,2049.373404000,382.263358500,81.352047370,16.391594730,233.296062700,561.992130800,69.814615160,2262.784366000,303.075452400
45,4.315665782,1913.379677000,822.918735500,143.576937100,24.275588100,274.988794400,260.859341100,75.957328570,1639.912525000,248.244329900
46,2.338424288,1963.351560000,1155.160504000,150.015829800,18.299421380,315.904178100,644.363142100,71.303989770,3407.713581000,304.423274100
47,1.298167246,1984.511373000,1405.786822000,130.942797900,21.829239900,288.952098800,161.007718500,74.680913260,2526.814256000,228.867719600
48,2.134446144,1986.349053000,809.293803500,95.089021840,19.364925720,205.499761000,196.357642700,76.340207250,2459.524526000,289.957141600
49,4.147966432,1991.789789000,1250.198275000,116.856462200,21.573264950,320.740172500,755.500555200,70.355464030,1795.719359000,189.883307300
50,3.057830147,1987.259859000,403.395230200,112.719826000,19.390511070,336.245383700,352.831983500,73.016488890,2016.503637000,206.693378900
51,4.182128584,1940.739237000,347.991750400,111.969772900,18.800283360,304.190488300,229.928336900,72.769473220,2097.669452000,226.422645300
52,1.846923155,1956.087297000,622.722758000,115.709720200,21.043317550,236.883671600,393.395436800,64.696400400,2436.273659000,188.274123000
53,1.301025044,2057.939193000,939.859008800,136.323974600,23.329271880,292.625715600,523.847248600,69.382866070,2561.544646000,219.321971300
54,3.631934812,2065.517880000,553.620936100,120.695877500,24.431893660,308.978564900,234.161674400,69.802190630,2320.818681000,266.138301200
55,3.950351763,2078.085190000,578.472210100,101.985372600,23.521570070,263.936794200,200.970956300,75.929426240,2684.393947000,321.583183900
56,4.616989568,1907.240881000,854.911878500,107.633965700,26.260992770,294.750758100,465.510428700,74.955138510,2708.092287000,249.425570200
57,4.256376327,1985.436274000,481.467008800,86.258047780,21.351043030,240.093794100,61.317854930,71.596027460,3156.300103000,279.646443400
58,4.467350381,2045.919984000,707.064066200,40.304805690,22.230347190,239.576875700,646.074221700,73.802966770,2718.505048000,268.644547500
59,3.118176223,1892.757800000,968.179171300,162.465446700,23.967542820,260.189897200,173.812811700,71.183561050,2002.043908000,187.890164300
60,2.676564438,2053.429783000,259.357736100,106.195439400,20.311339180,300.754584100,417.143283700,71.187553600,2145.015881000,304.428870800
61,3.175764869,1970.518139000,724.579859100,151.416684200,22.206366590,313.627206700,411.446771200,73.554367240,2505.325486000,205.202797300
62,2.097746441,2019.065966000,1081.412660000,135.949276400,21.497303130,362.877362300,34.488906440,74.296700860,2860.270961000,186.555661700
63,4.794710627,1917.783601000,764.787106200,91.660300170,22.676390370,317.473648200,422.070244000,69.076252050,2250.211120000,321.145901900
64,2.561917384,1956.587188000,411.160200200,84.288918650,26.385859750,264.963876500,672.364980100,70.102894500,3004.696572000,194.853057000
65,1.705193789,1993.624087000,334.893406100,115.482321200,24.461133570,302.348496500,168.599067000,73.781177680,1624.720533000,283.289007200
66,4.414161197,2014.623318000,607.061634700,104.097858900,20.778634320,227.513310600,654.548803300,77.046588220,2241.463611000,281.270927800
67,3.452821150,1868.348745000,576.503658200,87.386934530,23.322422650,291.339068700,338.937140600,73.593817130,2957.915514000,228.911724200
68,2.681940509,1843.182562000,1185.993150000,106.823807800,19.332700040,320.363018600,75.240019550,71.215032280,3377.328044000,92.447865100
69,3.120021683,2042.280283000,600.769621100,88.413012650,23.085422320,280.643182000,324.279402300,69.526014810,2164.388936000,138.224720800
70,3.725151920,2009.398720000,962.774186400,148.316385800,16.869669640,289.236169600,398.919837700,69.204642010,1337.424692000,172.549268900
71,2.001233781,2008.310720000,53.582277630,111.259275300,22.785076370,309.579804300,887.094294900,72.486545980,2835.571143000,141.598416000
72,2.538868702,1929.677531000,1143.787113000,161.557740700,22.725194240,303.530089600,894.354923400,75.321098230,1934.316033000,131.922189000
73,4.180911148,2068.267391000,844.905565400,117.857237300,18.039591590,347.608414200,404.645934600,69.600402820,3134.103498000,219.995351300
74,3.126660596,1985.376327000,1039.385968000,122.027950500,22.687765330,247.090686400,202.395245600,67.648061230,1780.631386000,198.685795000
75,2.393355597,2053.928318000,710.851928500,134.957547500,22.130448490,304.832999200,361.106340900,72.047441330,2802.178058000,234.208913600
76,1.940021411,1969.623612000,1251.789906000,92.419328370,22.244669180,291.935734400,565.339508100,69.181599160,2757.130303000,211.912630300
77,2.965811793,1952.017898000,105.154466500,104.486677500,23.898728040,308.473988800,808.806264000,75.825484160,1400.357932000,300.499627700
78,4.433175547,1949.454587000,638.939797100,114.528376300,25.798829900,281.114390800,293.444451900,76.836063410,2331.469527000,147.007066600
79,2.896835912,1929.520185000,386.793182300,147.304327100,22.529384050,306.854196900,207.521157300,69.094185690,1869.980089000,138.967712200
80,2.526207853,1990.625262000,469.692137800,107.581745900,25.126494690,325.158879500,451.864365200,71.709896140,2004.932786000,195.978590200
81,3.711675535,1835.946065000,1312.266502000,115.495390100,24.167631970,259.258200800,7.095354013,75.063222390,2840.934853000,228.508653200
82,3.437192878,1878.494029000,1129.251800000,142.130759000,24.534357030,246.809360500,489.988286000,71.431383300,2010.334339000,156.263366300
83,2.952526386,2014.755249000,971.080034400,99.757990910,20.208636140,297.146947800,574.786073100,69.933958340,2902.509156000,244.035478400
84,2.903304823,2019.601135000,278.106720500,96.045271710,19.715323840,303.818771000,1021.610094000,77.976560810,1604.144502000,241.318361400
85,4.457119988,2017.204418000,980.189230200,99.675032790,25.722449320,292.101684800,300.260202400,73.782827870,2546.351962000,192.158907600
86,1.044361471,1948.395238000,1072.010396000,126.027685300,21.344914930,356.530711600,221.233654200,69.345372700,2436.691508000,172.969660800
87,2.527102201,2021.856395000,881.137149900,132.653524900,22.447281990,255.190945500,194.049749100,72.271183000,3214.534809000,220.557907900
88,3.319423471,2075.221203000,78.914323640,140.938971700,24.370475490,261.486931600,1013.029606000,74.273549070,2044.043573000,301.765754400
89,3.858394621,1873.630154000,981.863229200,102.429378100,19.839592390,244.802386400,876.827541300,75.971489310,1913.049289000,192.197370900
90,2.143616681,1924.864832000,957.378290200,116.753626400,21.978814100,334.333067100,679.950216800,67.026508230,2133.591147000,111.056522700
91,2.041352165,1967.037527000,457.127194900,131.215489000,21.845143900,341.412674800,812.629311800,76.001527940,2573.632556000,239.241272200
92,3.552418049,1986.552440000,818.135194500,102.614962300,17.751531080,256.335929700,414.212654700,72.513747180,2427.726923000,277.746898300
93,4.271976853,1876.168046000,560.960950900,63.511845640,26.039088920,289.494315700,237.688171900,76.439840640,2155.862285000,188.756824300
94,1.620929977,2110.566437000,124.133740000,191.053003700,21.590294660,280.120468400,4.099043401,72.680412440,1461.448845000,171.988604800
95,3.833405222,1921.917639000,1343.600867000,126.919151500,21.245370870,303.842913900,49.975761400,70.678691500,3077.869396000,208.929445700
96,2.607764179,2009.034308000,250.547072300,79.346849830,21.874256960,206.005127700,550.102415700,74.370869330,2018.178247000,174.349764700
97,3.465318407,2009.797085000,1061.407516000,71.420793490,22.011830870,345.952749600,463.411500500,69.162765980,3051.040909000,159.958934800
98,2.148557714,1978.553160000,905.115295800,144.160097800,21.015618500,313.023467200,355.291453500,69.560635610,3277.660853000,175.901628000
99,3.952834144,1931.687894000,348.354645200,108.403571000,22.951690290,208.041941400,97.545357730,71.807954850,3725.190760000,134.392554500
100,3.565854938,2207.773481000,696.149163000,94.187612860,23.562884630,291.803991400,384.629392800,68.784472820,2596.685251000,402.163809200
101,3.107885438,1988.301966000,177.034494700,52.074363630,16.977083160,292.072966800,793.834135000,75.102747070,2371.373132000,172.995710400
102,3.991632829,1881.616487000,663.332920600,123.506166900,28.324968020,220.225603900,363.128013300,71.814615600,2323.712177000,314.698865700
103,2.319166331,1825.952497000,901.708222400,112.556322500,20.435556540,278.428992900,495.483404200,72.325587710,2401.522319000,128.471903900
104,2.403427540,2018.959131000,9.986209924,59.174653730,22.501117260,318.192405400,108.448229400,69.115762430,2363.294546000,222.307307200
105,2.683928821,1996.672056000,1071.209921000,100.701483200,23.149168040,288.758252900,358.351044600,69.842241650,2446.568681000,154.439542100
106,2.334566013,2020.976475000,1013.513596000,109.505135200,24.330904760,266.258621900,719.870002500,68.166533910,3773.151949000,264.835584400
107,5.110780553,1961.396350000,1074.131334000,112.326434500,27.707681740,266.743678900,695.845998800,71.526512040,2381.189872000,280.532100900
108,4.178066945,1932.755048000,723.783321200,108.045473100,19.475397120,227.655940300,82.217044940,78.143307400,3307.244450000,202.928474300
109,3.648692663,2008.269311000,962.278362100,119.509723500,18.217981590,303.840126500,12.040486850,73.389639240,2684.312583000,207.345568200
110,3.490161737,1986.340110000,1257.779003000,93.748554130,24.593272000,338.101358700,76.682693410,76.179382720,2605.949634000,261.819467800
111,3.615181402,1868.412631000,800.349064000,149.274563300,21.775273150,282.265659500,89.074071290,74.170087570,2543.236909000,156.385476200
112,2.919888824,1910.931434000,556.789148900,136.628657100,21.593174710,323.796315800,339.273302000,68.187508680,2331.691912000,189.329207700
113,3.108043048,1879.000705000,1106.825749000,157.076487900,17.089228100,305.658635200,1227.243097000,72.625213110,1529.604423000,208.945212300
114,3.153404273,2019.552159000,1063.742781000,146.035949300,23.695911150,295.731697700,822.311633800,70.648752780,2700.665341000,194.238670300
115,3.784533789,2080.436260000,818.584963200,147.908960900,23.093714740,270.143494800,764.949129300,74.791319910,2368.102714000,149.084561100
116,3.660787059,2125.206209000,856.379707200,120.193114800,21.546763760,224.657476300,270.457644200,69.702994320,2953.366748000,132.056503100
117,4.136690976,1944.518365000,589.646853200,102.349134800,19.580546900,247.744983200,371.247656200,80.075363240,2588.981282000,346.276191100
118,3.973107869,2007.868773000,691.388896700,120.680539400,24.082653350,263.129987900,298.924410200,71.680490550,2192.765045000,162.882660700
119,2.967267747,2038.728453000,1104.753631000,137.296385300,20.398796830,237.000699600,430.107822200,69.252305340,1706.261148000,383.663400500
120,4.379430442,1899.029321000,329.386053700,79.833231670,20.063222980,308.076724800,34.547696700,74.519119060,1994.674603000,237.571115500
121,1.660185966,1959.596758000,149.662405300,118.184666300,19.331106600,253.305033800,987.201560100,78.868134960,2355.725368000,171.810458300
122,2.217868652,2076.522571000,177.232913100,76.946875030,21.037842460,307.301227000,712.637196800,73.982965650,2114.773150000,189.484400500
123,2.167217233,2021.810983000,315.231857300,95.641677270,19.431257780,258.370168500,131.981649000,73.353930940,2494.214227000,284.183922200
124,3.289359531,2061.014479000,374.155178000,121.066050500,20.981729590,307.840838300,197.638696300,75.618515010,2454.202188000,252.988512200
125,2.927905088,2012.549977000,627.091102600,97.740358410,23.961702150,280.527319300,237.361035500,74.066128580,2170.832472000,223.855680900
126,2.791351677,2135.798679000,1361.960654000,122.466336800,22.532483080,250.111700900,949.473929500,67.455344640,1849.917465000,326.667721600
127,1.821491826,2045.558178000,525.758520300,121.754660900,22.536131440,220.152239200,877.923203500,71.556740970,2078.194365000,229.182606100
128,2.848249679,1963.866467000,1079.951725000,138.873674500,22.833644590,294.494094700,56.140334020,68.702038710,2655.460863000,236.308884900
129,1.746457871,1885.724004000,686.269535100,106.704606500,20.575593980,263.362796500,182.225521300,77.094895120,2364.796770000,256.283234800
130,3.401760853,1925.463688000,577.621201400,132.388360100,23.373700900,282.145328700,601.842006800,72.622375880,2014.635788000,176.308067700
131,2.757016248,1986.131443000,668.459069900,103.176443300,21.627801870,299.045889400,852.599584600,76.214100770,2945.921585000,243.825970800
132,2.967427362,1987.187948000,418.877804300,123.349104800,19.106292240,305.712624100,563.975405200,71.769192490,2456.395009000,220.193714100
133,3.953978378,2056.299072000,1428.382367000,45.122175360,24.830064860,319.150464600,558.300420800,69.016482660,2574.676221000,224.098202500
134,2.970629003,2060.756170000,387.027280200,45.863125730,21.344371060,305.480408900,370.045299400,77.361641030,2471.323296000,257.495622000
135,2.271032462,1862.432065000,1428.870308000,125.557042000,24.023624090,317.571591400,293.085219900,81.594750010,2419.520717000,220.481828400
136,3.097450722,1938.962878000,370.005376500,173.254326200,23.276569540,253.481768200,254.108881900,74.074910110,1847.810398000,323.876590800
137,3.324535058,1884.474321000,517.796839300,106.074955200,20.409881700,297.453359100,730.289571300,74.692191070,2012.973448000,247.845360000
138,1.963882350,1941.755695000,976.003270300,97.068295400,19.747822180,242.523325200,379.679870300,71.368211870,2437.943317000,190.126236800
139,3.540805947,1917.655728000,1588.677217000,89.878206640,21.110360300,322.008954700,246.470756400,75.148678550,2569.266781000,204.153010600
140,0.790499431,2054.123810000,876.794801700,116.889391100,23.564968970,353.561942700,643.647660000,70.080209570,2424.148613000,247.193190100
141,3.652004345,2145.260352000,645.814748600,125.160257400,23.551392480,295.101373100,548.839059300,76.992003020,2267.570490000,165.332352700
142,2.996154108,2000.021260000,963.514985800,128.413302900,22.412911170,293.695902700,252.552154000,70.941876840,2140.663170000,243.754769900
143,2.763158924,1910.852578000,829.656066600,122.112128800,21.177746110,295.270984400,430.682376200,70.577166050,2203.581132000,276.539615600
144,4.874254357,1974.917774000,23.614603000,80.792747630,20.621846310,365.185470800,352.821223800,75.219359640,1954.964443000,293.256747500
145,2.700639247,1939.306891000,956.971948100,100.210884300,17.218569580,279.944161100,360.510708700,75.147486540,2086.331974000,239.472374700
146,2.543539343,1949.423250000,366.753804000,71.168797920,23.554390000,218.560835600,793.018651700,73.017770360,2166.322407000,208.483085900
147,2.516849068,1954.981989000,710.407173200,89.692366900,22.148860020,313.566196400,759.418048700,74.322191360,2558.875390000,183.177707300
148,3.267522967,2107.549113000,712.148822100,60.994260640,27.312167310,268.485006800,121.565801600,81.053292820,3460.438212000,340.016625600
149,1.916842767,2109.441659000,691.301684700,116.606569800,21.611735690,341.789753900,372.705289600,72.680025680,2085.866383000,265.171039100
150,2.721331019,2006.431175000,1135.886043000,76.138874420,23.594098280,262.064344700,873.237891200,73.161226880,2365.113678000,162.583903200
151,3.360084389,2014.303595000,783.017997100,58.054767130,20.774248500,257.148028500,581.856096500,75.482075800,2628.155879000,213.519778100
152,1.493195988,1997.212555000,1010.784737000,107.549456400,17.300539300,322.532497900,165.345448700,72.775930180,2144.891733000,160.115494600
153,2.929879440,2053.985379000,911.058456000,126.725666500,24.254236430,285.811108500,767.381731300,70.145388570,1767.313175000,257.066368100
154,2.015362587,2028.596291000,634.827025200,115.034794500,23.703777110,293.849226600,245.590610400,80.254452540,1486.094794000,185.830077600
155,3.638739816,2062.013531000,945.030261800,122.282217600,21.555255940,223.267476800,1019.442394000,70.854519810,1673.355146000,163.433297800
156,2.829593986,1944.096932000,1114.869634000,124.874276000,22.132971730,349.371088900,873.530725500,71.568203950,1687.631281000,179.211987000
157,3.921578889,1832.560965000,817.332217300,137.516455200,20.387338750,239.662281500,598.133636300,73.733220850,2798.796840000,295.419936900
158,3.026357056,2114.434584000,490.401702000,81.635685270,20.172200320,294.820681100,553.811025700,73.669332630,2450.491648000,284.103490400
159,2.776978723,2021.527577000,871.946044100,107.029915400,20.388096210,295.535487600,318.878272100,72.205182390,2498.544649000,216.639016600
160,2.314540591,2005.151555000,905.473600700,81.793370020,25.179894260,265.652005400,219.876244700,74.925554870,2053.646797000,239.280575800
161,4.534409999,1965.866800000,429.352588600,128.402011400,23.946867500,269.226886100,1013.405237000,69.924069920,1768.487622000,206.352177300
162,3.778949964,1868.701049000,1152.987145000,141.175148400,18.261504770,283.304160300,1169.880887000,73.961012590,2332.533307000,205.454127200
163,2.365682532,1930.956981000,657.916704900,97.976013940,22.140477600,294.865630900,750.423810400,69.582314220,2326.616186000,154.710334600
164,2.678459161,1914.079261000,345.193227000,122.104823200,16.995303470,368.651948500,541.108659900,76.506519660,2521.113938000,201.244075700
165,2.997573554,2097.741722000,1107.894781000,128.597722800,24.659623230,262.616232000,405.607114000,74.569259220,2049.320685000,173.456799100
166,2.772379778,2033.820190000,1249.344023000,103.987718900,24.672746350,323.305402300,240.801078200,78.761627600,2438.219683000,170.770689800
167,1.030188510,1923.811976000,274.911499600,126.758012200,27.099202830,278.709560700,657.026471900,73.131267550,2687.111350000,126.716443000
168,2.386868244,1968.953083000,1190.019606000,115.237068200,24.486533640,298.128902300,416.220184400,72.342025050,2846.750285000,141.978230800
169,4.114134014,2012.150339000,931.987316000,88.335516640,18.531005540,266.890251000,71.282496990,74.454860590,3003.752945000,250.262394400
170,3.618497951,2037.623968000,1109.157647000,133.499648900,21.573072880,346.824340400,560.432685400,77.508045340,2607.259311000,230.788904500
171,2.275181694,1999.852104000,788.456272400,136.710285500,20.199540780,367.549316100,951.144248200,72.321161240,2427.976067000,356.925974500
172,3.441705577,1839.864649000,935.511792100,99.079858860,20.715839440,330.371636500,556.153262500,76.632138310,3791.072810000,284.852950100
173,3.584046514,1982.601205000,507.656796900,73.402660030,25.600547630,289.542355000,347.838507400,76.099200220,2938.123026000,195.370410400
174,2.691659136,1899.869151000,742.681136900,100.337885100,19.869357240,358.270877800,394.166257600,73.067813870,2752.011938000,147.489582100
175,2.011042050,2094.769792000,1057.597455000,168.911556300,21.558424870,396.898222200,447.184424900,72.694298090,1548.022724000,181.404491000
176,2.213130256,2107.861060000,343.053795100,74.386504530,23.075889850,277.080675700,105.477725500,71.329574300,2667.109248000,178.787038100
177,2.365193482,1934.309403000,579.947780800,97.490503520,26.820442340,229.940794000,74.538386600,75.310287250,2796.458345000,224.773830100
178,2.710530830,1936.438799000,473.973468200,122.599222800,24.365747330,315.858996300,588.601805300,79.336759930,1960.882953000,268.671032900
179,4.422466241,1945.323699000,636.831057200,127.661350600,20.527696280,249.291603200,646.632354400,78.259088740,2934.865728000,197.557822300
180,2.989538125,1947.952167000,240.142590000,110.615465800,21.031069150,342.168045500,0.603739925,72.146359640,1680.971057000,278.194759100
181,3.059959372,2016.644723000,897.973792600,121.200632400,23.460347770,243.702757600,352.106017700,76.796099990,2742.299965000,249.371318100
182,2.103374052,1905.642757000,1459.570541000,105.918369700,23.682252180,238.120039100,495.674767300,74.128481270,1809.993249000,190.263824000
183,3.037264207,1816.107716000,1098.633655000,143.187762100,25.877519470,295.978698500,375.591359600,72.814265300,2947.476671000,196.914575900
184,3.464826516,2015.266984000,1152.901962000,79.994593650,19.919425620,277.075620700,458.556444900,73.555639710,2430.169934000,231.078258400
185,2.152054712,1938.282144000,1065.625743000,148.104233400,19.093391670,234.856712800,865.629036100,72.299461700,3848.436732000,143.123640300
186,1.584452573,2050.583051000,486.635728600,136.187796400,23.184164970,234.019507300,1040.466645000,70.706532130,2510.792879000,132.378179100
187,1.827151640,1987.595089000,428.024581100,85.768370860,22.730682510,321.460610400,697.774203600,75.691875470,1928.083479000,212.111935300
188,3.154426064,1947.072412000,822.605132400,100.047074100,23.417794170,381.857724500,698.788647900,78.854304700,3018.452658000,154.108613100
189,2.836509656,2019.418526000,943.714697700,124.302188100,18.841309140,233.469291200,463.601092800,69.283002900,2890.615776000,188.505716700
190,3.611658516,1884.371811000,1027.008965000,167.446874400,20.053583170,289.304383800,420.236197900,74.408844900,2314.416659000,301.764042300
191,3.476044190,1866.530908000,955.866901300,95.846316860,19.446330180,341.182039400,411.957491600,72.298268920,2741.673332000,331.198818500
192,1.441477772,1984.144357000,1086.492724000,107.938101000,21.292585800,299.924620100,533.792220900,74.566475840,2409.335270000,255.593733200
193,2.348185461,1929.677180000,422.524663000,104.737519100,23.645352630,305.799316100,554.507496000,76.436218330,3238.218206000,273.174369500
194,1.938589196,2013.245026000,165.365655700,134.860407400,23.283868150,280.124801900,342.660951500,74.404946610,2156.666591000,222.299402700
195,3.012997873,1968.860618000,1223.046935000,118.501893600,21.539608110,351.657839700,281.348472400,70.673985150,2245.826463000,217.481262300
196,3.459774870,1902.152941000,1057.215218000,109.838111500,20.444666690,218.611309200,14.373507220,66.421070060,2528.078944000,138.141777300
197,2.584864673,1967.019273000,367.089511100,119.768302500,19.122262960,253.583505100,62.344521590,73.758368350,2861.174070000,202.292687800
198,4.376415076,1981.010213000,567.518022900,43.132583110,21.055055320,247.317883300,466.675682500,67.494639480,2713.532373000,173.351772700
199,3.912368119,2040.894383000,743.525420500,94.770329300,21.636884940,251.218037300,866.198288000,72.922526660,2939.621240000,153.995926200
200,4.039909941,2078.510246000,946.559442900,121.382364700,20.543274960,354.235087800,309.790443500,69.067951620,2437.505370000,188.265573300
201,2.142096771,1927.767886000,671.632244900,91.430608610,22.830796970,343.958148100,225.523884500,65.793844970,3342.802059000,305.705805200
202,3.007425444,1810.471225000,1033.785496000,148.849768000,18.804236700,266.281712600,721.959845200,74.144816210,2836.912038000,254.566416100
203,2.708166045,1984.505296000,1071.270052000,125.967504600,18.148463970,351.025423200,305.235155300,73.181410380,2044.516968000,239.568622000
204,2.929276061,1786.035636000,932.145605600,103.351907400,25.282318750,274.485906800,111.649384500,71.425270870,2811.330278000,140.570782800
205,3.800197884,1913.272871000,840.319633100,104.017443600,23.647353520,279.795870000,288.020024200,68.949065180,2177.064956000,261.154086000
206,3.585248153,2112.329539000,1271.239265000,119.336239900,21.792728740,323.487490800,644.567370700,70.870904860,1446.957980000,196.770962300
207,2.343737690,1889.334540000,420.576981200,104.425867900,24.290498150,289.808973500,192.686387500,69.091015890,2475.627084000,230.567472100
208,4.706653515,1938.949730000,1014.173382000,35.620904360,24.829676040,328.864659400,379.246075200,74.445896360,3063.025225000,164.547578000
209,2.031784814,1953.102734000,191.199207300,135.606634500,19.781173520,295.852961000,619.911603900,76.186141810,3232.139442000,186.783813800
210,3.008204042,1990.094784000,687.815935900,110.226287100,23.724445930,331.996024200,410.551386600,71.306992400,2428.101566000,300.984780300
211,2.696183114,1959.779639000,26.826999800,132.031951800,19.868797040,349.726170800,527.229431400,74.659159150,2188.744473000,414.590628400
212,3.551654362,1920.694722000,861.959506800,146.451195700,23.041922160,386.067991800,623.508449700,75.230994010,2465.020916000,236.156967000
